sigma,time,outer_iterations,inner_iterations,PSNR,SSIM
0.1,231.3331286907196,136,42664,21.74075854502032,0.7252733364273988
0.3,69.22966957092285,136,22644,21.74075555879002,0.725273877732285
0.5,50.05762791633606,136,17478,21.740753561862437,0.725274513688612
0.7,42.83439874649048,136,14910,21.740751654768534,0.7252747865268709
0.9,43.97890853881836,136,13339,21.74074966932418,0.7252747420586881
